"region","food1","food2","food3","food4","food1_kid","food2_kid","food3_kid","food4_kid"
"Overall",0.0214476,0.3779336,0.8537985,0.8748134,0.0323168,0.4313089,0.8618928,0.8628483
"White",0.0142885,0.3422701,0.878383,0.904164,0.0223903,0.3955154,0.9074896,0.9250171
"Black",0.0426497,0.4375616,0.8314026,0.8721674,0.0512401,0.4755068,0.8584939,0.9225762
"Hispanic",0.0408154,0.4155913,0.8378043,0.8045713,0.0512539,0.4541351,0.8261756,0.7647054
"Asian",0.013,0.321,0.806,0.743,0.017,0.421,0.707,0.602
"USA",0.0214476007968187,0.377933591604233,0.853798508644104,0.874813377857208,0.0323168374598026,0.43130886554718,0.861892819404602,0.862848281860352
"alabama",0.0316204540431499,0.4178267121315,0.906148910522461,0.948151171207428,0.0432268753647804,0.448586463928223,0.924118399620056,0.796603798866272
"alaska",0.0204121135175228,0.376391470432282,0.801900744438171,1,0.0364430025219917,0.416749000549316,0.878365337848663,1
"arizona",0.0244164019823074,0.411907702684403,0.845274686813355,0.969680845737457,0.0355650596320629,0.481335341930389,0.778467774391174,1
"arkansas",0.0349996164441109,0.406344950199127,0.854911386966705,1,0.0637101083993912,0.500188410282135,0.854340672492981,1
"california",0.0229151602834463,0.373708367347717,0.843672633171082,0.787137031555176,0.0324108898639679,0.408392608165741,0.831371963024139,0.752047479152679
"colorado",0.0123690711334348,0.332331985235214,0.77776050567627,1,0.0179399941116571,0.416245132684708,0.876442790031433,1
"connecticut",0.026621775701642,0.380902320146561,0.773681998252869,0.762176930904388,0.0331186689436436,0.521647453308106,0.767686128616333,0.687337160110474
"delaware",0.0120528284460306,0.451895982027054,0.803162217140198,1,0.0210424344986677,0.568655848503113,0.839778900146484,1
"district of columbia",0.0280732046812773,0.398276716470718,0.824352741241455,0.646348893642426,0.052580438554287,0.496298134326935,0.913062274456024,0.216308027505875
"florida",0.0206557083874941,0.393392354249954,0.86860066652298,0.840666711330414,0.028630755841732,0.483867168426514,0.879705488681793,0.86025071144104
"georgia",0.0211592763662338,0.377369523048401,0.825237631797791,0.786176145076752,0.0343914292752743,0.395173281431198,0.854469060897827,1
"hawaii",0.009166169911623,0.314661383628845,0.748879075050354,0.812080025672913,0.0183078702539206,0.430959045886993,0.705671429634094,0.733495473861694
"idaho",0.0195926185697317,0.321913599967957,0.855854034423828,1,0.0353461056947708,0.37456139922142,0.831745266914368,1
