"state","week","race","kids","food_sufficiency","people"
"Alabama",13,"Asian alone, not Hispanic","no","enough not wanted",6141.66334144
"Alabama",13,"Asian alone, not Hispanic","no","enough wanted",14851.8376698
"Alabama",13,"Asian alone, not Hispanic","yes","enough not wanted",6023.54376423
"Alabama",13,"Asian alone, not Hispanic","yes","enough wanted",5570.21198783
"Alabama",13,"Asian alone, not Hispanic","yes",NA,851.42061829
"Alabama",13,"Black alone, not Hispanic","no","enough not wanted",132009.15653963
"Alabama",13,"Black alone, not Hispanic","no","enough wanted",199068.871476707
"Alabama",13,"Black alone, not Hispanic","no","often not enough",24380.8418628
"Alabama",13,"Black alone, not Hispanic","no","sometimes not enough",32241.21941462
"Alabama",13,"Black alone, not Hispanic","no",NA,98101.65110026
"Alabama",13,"Black alone, not Hispanic","yes","enough not wanted",108822.19865839
"Alabama",13,"Black alone, not Hispanic","yes","enough wanted",133458.89509547
"Alabama",13,"Black alone, not Hispanic","yes","often not enough",12218.47899983
"Alabama",13,"Black alone, not Hispanic","yes","sometimes not enough",115014.500434682
"Alabama",13,"Black alone, not Hispanic","yes",NA,101703.86846019
"Alabama",13,"Hispanic or Latino, all Races","no","enough not wanted",22322.0184069
"Alabama",13,"Hispanic or Latino, all Races","no","enough wanted",11258.08454165
"Alabama",13,"Hispanic or Latino, all Races","no","sometimes not enough",1457.862403
"Alabama",13,"Hispanic or Latino, all Races","no",NA,23722.5597213
"Alabama",13,"Hispanic or Latino, all Races","yes","enough not wanted",16829.5679514
"Alabama",13,"Hispanic or Latino, all Races","yes","enough wanted",23423.96390863
"Alabama",13,"Hispanic or Latino, all Races","yes","often not enough",811.29040738
"Alabama",13,"Hispanic or Latino, all Races","yes","sometimes not enough",23552.28382077
"Alabama",13,"Hispanic or Latino, all Races","yes",NA,4236.5477511
"Alabama",13,"Two or more races or Other","no","enough not wanted",20541.09415156
"Alabama",13,"Two or more races or Other","no","enough wanted",19223.2644212
"Alabama",13,"Two or more races or Other","no","often not enough",2435.03060236
"Alabama",13,"Two or more races or Other","no","sometimes not enough",10366.62958
"Alabama",13,"Two or more races or Other","yes","enough not wanted",8859.8369992
"Alabama",13,"Two or more races or Other","yes","enough wanted",1117.6942631
"Alabama",13,"Two or more races or Other","yes","sometimes not enough",3175.8633024
"Alabama",13,"Two or more races or Other","yes",NA,9350.08340128
"Alabama",13,"White alone, not Hispanic","no","enough not wanted",414314.080929201
"Alabama",13,"White alone, not Hispanic","no","enough wanted",933962.55874922
"Alabama",13,"White alone, not Hispanic","no","often not enough",12527.0221602
"Alabama",13,"White alone, not Hispanic","no","sometimes not enough",118743.89475608
"Alabama",13,"White alone, not Hispanic","no",NA,182362.7509087
"Alabama",13,"White alone, not Hispanic","yes","enough not wanted",214372.69770611
"Alabama",13,"White alone, not Hispanic","yes","enough wanted",444623.446874298
"Alabama",13,"White alone, not Hispanic","yes","often not enough",11801.06341489
"Alabama",13,"White alone, not Hispanic","yes","sometimes not enough",79889.60989451
"Alabama",13,"White alone, not Hispanic","yes",NA,111638.83954498
"Alabama",14,"Asian alone, not Hispanic","no","enough not wanted",6885.79668834
"Alabama",14,"Asian alone, not Hispanic","no","enough wanted",13625.33906545
"Alabama",14,"Asian alone, not Hispanic","no",NA,333.93905103
"Alabama",14,"Asian alone, not Hispanic","yes","enough not wanted",2924.6127603
"Alabama",14,"Asian alone, not Hispanic","yes","enough wanted",8289.90885387
"Alabama",14,"Asian alone, not Hispanic","yes","sometimes not enough",481.3595951
"Alabama",14,"Asian alone, not Hispanic","yes",NA,4336.45006582
"Alabama",14,"Black alone, not Hispanic","no","enough not wanted",147390.5964601
"Alabama",14,"Black alone, not Hispanic","no","enough wanted",192035.15542557
"Alabama",14,"Black alone, not Hispanic","no","often not enough",13033.8144508
"Alabama",14,"Black alone, not Hispanic","no","sometimes not enough",49029.58329038
"Alabama",14,"Black alone, not Hispanic","no",NA,97064.90400523
"Alabama",14,"Black alone, not Hispanic","yes","enough not wanted",142216.2590068
"Alabama",14,"Black alone, not Hispanic","yes","enough wanted",138067.84102504
"Alabama",14,"Black alone, not Hispanic","yes","often not enough",20548.4371482
"Alabama",14,"Black alone, not Hispanic","yes","sometimes not enough",61518.93298205
"Alabama",14,"Black alone, not Hispanic","yes",NA,84041.46708275
"Alabama",14,"Hispanic or Latino, all Races","no","enough not wanted",8036.44899346
"Alabama",14,"Hispanic or Latino, all Races","no","enough wanted",18236.32107536
"Alabama",14,"Hispanic or Latino, all Races","no","often not enough",2508.11691077
"Alabama",14,"Hispanic or Latino, all Races","no","sometimes not enough",5810.50859619
"Alabama",14,"Hispanic or Latino, all Races","no",NA,2961.22368747
"Alabama",14,"Hispanic or Latino, all Races","yes","enough not wanted",17677.4692525
"Alabama",14,"Hispanic or Latino, all Races","yes","enough wanted",18639.13359042
"Alabama",14,"Hispanic or Latino, all Races","yes","often not enough",4718.4902131
"Alabama",14,"Hispanic or Latino, all Races","yes","sometimes not enough",23323.4533601
"Alabama",14,"Hispanic or Latino, all Races","yes",NA,10826.25650213
"Alabama",14,"Two or more races or Other","no","enough not wanted",20556.97347047
"Alabama",14,"Two or more races or Other","no","enough wanted",27657.30456765
"Alabama",14,"Two or more races or Other","no","often not enough",1890.36649135
"Alabama",14,"Two or more races or Other","no","sometimes not enough",2953.03681922
"Alabama",14,"Two or more races or Other","no",NA,953.61802947
"Alabama",14,"Two or more races or Other","yes","enough not wanted",8149.43682572
"Alabama",14,"Two or more races or Other","yes","enough wanted",5298.227944222
"Alabama",14,"Two or more races or Other","yes","often not enough",4863.0717009
"Alabama",14,"Two or more races or Other","yes","sometimes not enough",890.21106454
"Alabama",14,"Two or more races or Other","yes",NA,10064.94713244
"Alabama",14,"White alone, not Hispanic","no","enough not wanted",379814.99860448
"Alabama",14,"White alone, not Hispanic","no","enough wanted",897281.523021263
"Alabama",14,"White alone, not Hispanic","no","often not enough",18699.89820712
"Alabama",14,"White alone, not Hispanic","no","sometimes not enough",65562.71063909
"Alabama",14,"White alone, not Hispanic","no",NA,216673.00060014
"Alabama",14,"White alone, not Hispanic","yes","enough not wanted",225531.11157491
"Alabama",14,"White alone, not Hispanic","yes","enough wanted",490666.08364706
"Alabama",14,"White alone, not Hispanic","yes","often not enough",41732.17459704
"Alabama",14,"White alone, not Hispanic","yes","sometimes not enough",102396.80777765
"Alabama",14,"White alone, not Hispanic","yes",NA,101180.67814039
"Alabama",15,"Asian alone, not Hispanic","no","enough not wanted",19286.853114
"Alabama",15,"Asian alone, not Hispanic","no","enough wanted",9144.853690619
"Alabama",15,"Asian alone, not Hispanic","no",NA,2097.0480472
"Alabama",15,"Asian alone, not Hispanic","yes","enough not wanted",2556.2931766
"Alabama",15,"Asian alone, not Hispanic","yes","enough wanted",29371.2011843
"Alabama",15,"Asian alone, not Hispanic","yes",NA,29517.0476493
"Alabama",15,"Black alone, not Hispanic","no","enough not wanted",96701.70311388
"Alabama",15,"Black alone, not Hispanic","no","enough wanted",195210.70180542
"Alabama",15,"Black alone, not Hispanic","no","often not enough",17028.08644
"Alabama",15,"Black alone, not Hispanic","no","sometimes not enough",61493.05816432
"Alabama",15,"Black alone, not Hispanic","no",NA,59520.97478036
"Alabama",15,"Black alone, not Hispanic","yes","enough not wanted",123124.33076807
"Alabama",15,"Black alone, not Hispanic","yes","enough wanted",83318.2849381
"Alabama",15,"Black alone, not Hispanic","yes","often not enough",17952.88559122
"Alabama",15,"Black alone, not Hispanic","yes","sometimes not enough",62679.85561572
"Alabama",15,"Black alone, not Hispanic","yes",NA,44137.02340898
"Alabama",15,"Hispanic or Latino, all Races","no","enough not wanted",57301.71233003
"Alabama",15,"Hispanic or Latino, all Races","no","enough wanted",35412.4078531
"Alabama",15,"Hispanic or Latino, all Races","no","often not enough",3029.7201734
"Alabama",15,"Hispanic or Latino, all Races","no","sometimes not enough",7425.3946747
"Alabama",15,"Hispanic or Latino, all Races","no",NA,9822.637089
"Alabama",15,"Hispanic or Latino, all Races","yes","enough not wanted",20888.4821019
"Alabama",15,"Hispanic or Latino, all Races","yes","enough wanted",13006.54030446
"Alabama",15,"Hispanic or Latino, all Races","yes","often not enough",2790.7329475
"Alabama",15,"Hispanic or Latino, all Races","yes","sometimes not enough",18683.1148413
"Alabama",15,"Hispanic or Latino, all Races","yes",NA,31679.40768183
"Alabama",15,"Two or more races or Other","no","enough not wanted",16190.84252384
"Alabama",15,"Two or more races or Other","no","enough wanted",24761.44244563
"Alabama",15,"Two or more races or Other","no","often not enough",2917.7794171
"Alabama",15,"Two or more races or Other","no","sometimes not enough",25715.804151
"Alabama",15,"Two or more races or Other","no",NA,2483.27487412
"Alabama",15,"Two or more races or Other","yes","enough not wanted",18117.31062158
"Alabama",15,"Two or more races or Other","yes","enough wanted",32867.95514885
"Alabama",15,"Two or more races or Other","yes","sometimes not enough",14917.95916416
"Alabama",15,"Two or more races or Other","yes",NA,2087.3985774
"Alabama",15,"White alone, not Hispanic","no","enough not wanted",353509.35013128
"Alabama",15,"White alone, not Hispanic","no","enough wanted",998790.55016982
"Alabama",15,"White alone, not Hispanic","no","often not enough",24738.64307926
"Alabama",15,"White alone, not Hispanic","no","sometimes not enough",105120.18622153
"Alabama",15,"White alone, not Hispanic","no",NA,90888.15541464
"Alabama",15,"White alone, not Hispanic","yes","enough not wanted",234904.62964081
"Alabama",15,"White alone, not Hispanic","yes","enough wanted",510396.5582077
"Alabama",15,"White alone, not Hispanic","yes","often not enough",19315.0206359
"Alabama",15,"White alone, not Hispanic","yes","sometimes not enough",63426.15550834
"Alabama",15,"White alone, not Hispanic","yes",NA,123048.6325833
"Alabama",16,"Asian alone, not Hispanic","no","enough wanted",17609.29616829
"Alabama",16,"Asian alone, not Hispanic","no","sometimes not enough",3663.5803975
"Alabama",16,"Asian alone, not Hispanic","no",NA,784.99136527
"Alabama",16,"Asian alone, not Hispanic","yes","enough not wanted",1657.21455022
"Alabama",16,"Asian alone, not Hispanic","yes","enough wanted",19189.0749547
"Alabama",16,"Black alone, not Hispanic","no","enough not wanted",149454.25478108
"Alabama",16,"Black alone, not Hispanic","no","enough wanted",157857.61650619
"Alabama",16,"Black alone, not Hispanic","no","often not enough",10848.7401418
"Alabama",16,"Black alone, not Hispanic","no","sometimes not enough",66804.65700705
"Alabama",16,"Black alone, not Hispanic","no",NA,48461.4521936
"Alabama",16,"Black alone, not Hispanic","yes","enough not wanted",129815.92787944
"Alabama",16,"Black alone, not Hispanic","yes","enough wanted",190566.85865044
"Alabama",16,"Black alone, not Hispanic","yes","often not enough",12479.57815233
"Alabama",16,"Black alone, not Hispanic","yes","sometimes not enough",45730.740439
"Alabama",16,"Black alone, not Hispanic","yes",NA,69670.28070442
"Alabama",16,"Hispanic or Latino, all Races","no","enough not wanted",11869.02628498
"Alabama",16,"Hispanic or Latino, all Races","no","enough wanted",54445.82129192
"Alabama",16,"Hispanic or Latino, all Races","no","often not enough",5022.9646537
"Alabama",16,"Hispanic or Latino, all Races","no",NA,17219.9292955
"Alabama",16,"Hispanic or Latino, all Races","yes","enough not wanted",5113.51551735
"Alabama",16,"Hispanic or Latino, all Races","yes","enough wanted",11584.463326
"Alabama",16,"Hispanic or Latino, all Races","yes","often not enough",7737.1691208
"Alabama",16,"Hispanic or Latino, all Races","yes","sometimes not enough",886.56427263
"Alabama",16,"Hispanic or Latino, all Races","yes",NA,19207.4571787
"Alabama",16,"Two or more races or Other","no","enough not wanted",54657.20994868
"Alabama",16,"Two or more races or Other","no","enough wanted",19235.25538065
"Alabama",16,"Two or more races or Other","no","often not enough",392.49568263
"Alabama",16,"Two or more races or Other","no","sometimes not enough",3782.5317236
"Alabama",16,"Two or more races or Other","no",NA,2079.21738725
"Alabama",16,"Two or more races or Other","yes","enough not wanted",12291.3995086
"Alabama",16,"Two or more races or Other","yes","enough wanted",11557.22758682
"Alabama",16,"Two or more races or Other","yes","sometimes not enough",7565.0634472
"Alabama",16,"White alone, not Hispanic","no","enough not wanted",467834.546125296
"Alabama",16,"White alone, not Hispanic","no","enough wanted",904330.541490277
"Alabama",16,"White alone, not Hispanic","no","often not enough",52317.78243316
"Alabama",16,"White alone, not Hispanic","no","sometimes not enough",87829.97827198
"Alabama",16,"White alone, not Hispanic","no",NA,144711.89840735
"Alabama",16,"White alone, not Hispanic","yes","enough not wanted",196093.50335804
"Alabama",16,"White alone, not Hispanic","yes","enough wanted",448427.664977981
"Alabama",16,"White alone, not Hispanic","yes","often not enough",2990.96460627
"Alabama",16,"White alone, not Hispanic","yes","sometimes not enough",92238.04072916
"Alabama",16,"White alone, not Hispanic","yes",NA,151361.50410869
"Alabama",17,"Asian alone, not Hispanic","no","enough not wanted",3338.854383
"Alabama",17,"Asian alone, not Hispanic","no","enough wanted",17274.05454878
"Alabama",17,"Asian alone, not Hispanic","no","sometimes not enough",2315.7876965
"Alabama",17,"Asian alone, not Hispanic","no",NA,14211.15430815
"Alabama",17,"Asian alone, not Hispanic","yes","enough not wanted",2655.7220578
"Alabama",17,"Asian alone, not Hispanic","yes","enough wanted",4840.0025732
"Alabama",17,"Asian alone, not Hispanic","yes","often not enough",1523.9005586
"Alabama",17,"Asian alone, not Hispanic","yes",NA,14427.2214172
"Alabama",17,"Black alone, not Hispanic","no","enough not wanted",194969.72131312
"Alabama",17,"Black alone, not Hispanic","no","enough wanted",154576.88758017
"Alabama",17,"Black alone, not Hispanic","no","often not enough",3569.2670156
"Alabama",17,"Black alone, not Hispanic","no","sometimes not enough",69960.3679882
"Alabama",17,"Black alone, not Hispanic","no",NA,28019.47606922
"Alabama",17,"Black alone, not Hispanic","yes","enough not wanted",78182.82320153
"Alabama",17,"Black alone, not Hispanic","yes","enough wanted",129516.11542668
"Alabama",17,"Black alone, not Hispanic","yes","often not enough",3977.8232408
"Alabama",17,"Black alone, not Hispanic","yes","sometimes not enough",100918.0842857
"Alabama",17,"Black alone, not Hispanic","yes",NA,111451.23931338
